family	sha256	indicator
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	http://crl3.digicert.com/sha2-assured-ts.crl02
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	http://crl4.digicert.com/DigiCertAssuredIDRootCA.crl0:
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	http://crl4.digicert.com/sha2-assured-cs-g1.crl0L
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	http://crl4.digicert.com/sha2-assured-ts.crl0
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	http://ocsp.digicert.com0C
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	http://ocsp.digicert.com0N
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	http://ocsp.digicert.com0O
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	http://www.digicert.com/CPS0
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	https://mozilla.org0
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	https://www.digicert.com/CPS0
Trickbot	6f61d466fdb609fd461ba5979fab4a908a5a1c61336566e1313d54d9bf484366	5.1.0.0
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://cacerts.digicert.com/DigiCertAssuredIDRootCA.crt0
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://cacerts.digicert.com/DigiCertSHA2AssuredIDCodeSigningCA.crt0
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://cacerts.digicert.com/DigiCertSHA2AssuredIDTimestampingCA.crt0
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://crl3.digicert.com/DigiCertAssuredIDRootCA.crl0O
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://crl3.digicert.com/DigiCertAssuredIDRootCA.crl0P
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://crl3.digicert.com/sha2-assured-cs-g1.crl05
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://crl3.digicert.com/sha2-assured-ts.crl02
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://crl4.digicert.com/DigiCertAssuredIDRootCA.crl0:
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://crl4.digicert.com/sha2-assured-cs-g1.crl0L
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://crl4.digicert.com/sha2-assured-ts.crl0
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://ocsp.digicert.com0C
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://ocsp.digicert.com0N
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://ocsp.digicert.com0O
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	http://www.digicert.com/CPS0
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	https://mozilla.org0
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	https://www.digicert.com/CPS0
Trickbot	7735a05791f9c8d69e6211b9d5df24a852fcf7e6e8bae876f4ac126023c52852	5.1.0.0
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://cacerts.digicert.com/DigiCertAssuredIDRootCA.crt0
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://cacerts.digicert.com/DigiCertSHA2AssuredIDCodeSigningCA.crt0
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://cacerts.digicert.com/DigiCertSHA2AssuredIDTimestampingCA.crt0
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://crl3.digicert.com/DigiCertAssuredIDRootCA.crl0O
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://crl3.digicert.com/DigiCertAssuredIDRootCA.crl0P
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://crl3.digicert.com/sha2-assured-cs-g1.crl05
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://crl3.digicert.com/sha2-assured-ts.crl02
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://crl4.digicert.com/DigiCertAssuredIDRootCA.crl0:
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://crl4.digicert.com/sha2-assured-cs-g1.crl0L
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://crl4.digicert.com/sha2-assured-ts.crl0
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://ocsp.digicert.com0C
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://ocsp.digicert.com0N
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://ocsp.digicert.com0O
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	http://www.digicert.com/CPS0
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	https://mozilla.org0
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	https://www.digicert.com/CPS0
Trickbot	b1adee00a132b96a6f457031953b01fd1e322c57bff3fc9517b7d92d1ba884f4	5.1.0.0
Trickbot	c7c8353673369dcd293b0160fd35a9143ceb4ee98ebb69d8617b596b5fd5244d	http://www.rsdn.ru
Trickbot	c7c8353673369dcd293b0160fd35a9143ceb4ee98ebb69d8617b596b5fd5244d	http://www.webutilities.com
Trickbot	d8a022ddcef8459ab71cdc33f3474779df507a25ca4d179279be78424c69c813	http://www.rsdn.ru
Trickbot	d8a022ddcef8459ab71cdc33f3474779df507a25ca4d179279be78424c69c813	http://www.webutilities.com
Trickbot	e134e7b7e1960e3809b8748244e881b39f437a27be9a75c5b2a4c80fd60d1479	http://www.rsdn.ru
Trickbot	e134e7b7e1960e3809b8748244e881b39f437a27be9a75c5b2a4c80fd60d1479	http://www.webutilities.com
benign	d59587f93579682774e3135b49cfa07c5568612521779721632e76ae3865501a	http://crl.microsoft.com/pki/crl/products/MicRooCerAut_2010-06-23.crl0Z
benign	d59587f93579682774e3135b49cfa07c5568612521779721632e76ae3865501a	http://www.microsoft.com/pki/certs/MicRooCerAut_2010-06-23.crt0
benign	d59587f93579682774e3135b49cfa07c5568612521779721632e76ae3865501a	http://www.microsoft.com/pkiops/Docs/Repository.htm0
